layer,task,probe,accuracy,accuracy_std,f1_macro,n
20,3-class (A/B/C),mlp,0.7295048299275751,0.015505142985248278,0.5410510740240967,2000
20,Binary bypass,linear,0.7834851530322066,0.018211049350615613,0.7654635134226009,2000
20,Binary bypass,mlp,0.7784651466571665,0.020641660958755876,0.7460231399825794,2000
20,Binary faithful,linear,0.7320168376052351,0.015066633031608462,0.6017203499845547,2000
20,Binary faithful,mlp,0.854502193763711,0.0189875211662167,0.6024961178171025,2000
21,3-class (A/B/C),linear,0.681536731619498,0.022146528639867373,0.5939421608238166,2000
21,3-class (A/B/C),mlp,0.7445511086683098,0.020225981717820345,0.5790745741873446,2000
21,Binary bypass,linear,0.7939914499465621,0.016556502374431407,0.7765931275276142,2000
21,Binary bypass,mlp,0.7884627091419322,0.025300777170347837,0.7585148895514773,2000
21,Binary faithful,linear,0.7525193501209383,0.026015143296690968,0.6213548645495803,2000
21,Binary faithful,mlp,0.8525134032087701,0.01280500791705939,0.5836400649418856,2000
22,3-class (A/B/C),linear,0.6834867811207402,0.017885806701585516,0.5994680035282849,2000
22,3-class (A/B/C),mlp,0.7490249799135872,0.013725002710442488,0.5576551653571129,2000
22,Binary bypass,linear,0.785498912493203,0.027525562817757192,0.7684688799515821,2000
22,Binary bypass,mlp,0.7829438996493728,0.02963323707258621,0.7541008310013074,2000
22,Binary faithful,linear,0.7615194001212507,0.020542352494321223,0.629980013603121,2000
22,Binary faithful,mlp,0.8570196688729304,0.017497412710745258,0.6269387971369501,2000
23,3-class (A/B/C),linear,0.6745191691030159,0.011794800912637548,0.5878584491512309,2000
23,3-class (A/B/C),mlp,0.7525225111015154,0.009777794882963946,0.5674473366876752,2000
23,Binary bypass,linear,0.7879839373996088,0.02935932983516585,0.7707802088810733,2000
23,Binary bypass,mlp,0.7909752029700186,0.01818527717015382,0.7599347310182585,2000
23,Binary faithful,linear,0.743535615847599,0.027676131051397438,0.6129162033076676,2000
23,Binary faithful,mlp,0.853513396958731,0.011739137045813546,0.5862880013483486,2000
24,3-class (A/B/C),linear,0.678014218932152,0.010137535291734268,0.5952276877113054,2000
24,3-class (A/B/C),mlp,0.73296867620348,0.015610554014973799,0.5691396940222759,2000
24,Binary bypass,linear,0.781502646891543,0.027460096144012708,0.76404815015129,2000
24,Binary bypass,mlp,0.7874751842199014,0.021637908276668495,0.7577784008330098,2000
24,Binary faithful,linear,0.7435131157069731,0.0245917893245574,0.6100691726016407,2000
