layer,task,probe,accuracy,accuracy_std,f1_macro,f1_std,n
7,Binary bypass (A vs non-A),linear,0.7669677658009046,0.015598864614714741,0.7347877317370004,0.017136441008799564,4287
7,Binary bypass (A vs non-A),mlp,0.8021936445507041,0.012251654640370762,0.7419166889174422,0.018499910253571502,4287
7,Binary faithful (C vs non-C),linear,0.6650287091360603,0.016158182925640738,0.6555986510471916,0.0159218530317152,4287
7,Binary faithful (C vs non-C),mlp,0.6969873766839927,0.009073365283705491,0.6522068929494165,0.016586141581900665,4287
8,3-class (A/B/C),linear,0.5819974269215809,0.017982964832373542,0.5854440777959071,0.017429916498093508,4287
8,3-class (A/B/C),mlp,0.5738242310004271,0.01942350874945026,0.5778530653365548,0.01901013719072656,4287
8,Binary bypass (A vs non-A),linear,0.7709318297416313,0.01195334671978912,0.7370509390461677,0.013367889057540506,4287
8,Binary bypass (A vs non-A),mlp,0.7951941096631879,0.008182724284123671,0.7339545833174003,0.00870718766380678,4287
8,Binary faithful (C vs non-C),linear,0.6645668605995327,0.015498783909366817,0.655400884969467,0.014490632804753226,4287
8,Binary faithful (C vs non-C),mlp,0.6822928141481234,0.010931139710008426,0.63831839327529,0.007691588899815787,4287
9,3-class (A/B/C),linear,0.5817675906357354,0.022730810677865254,0.5855214218686247,0.022122117960320327,4287
9,3-class (A/B/C),mlp,0.5714964926166793,0.018236336001733452,0.5748918007020395,0.01856395272039407,4287
9,Binary bypass (A vs non-A),linear,0.7769986917011421,0.009611274276481726,0.7436982921180937,0.011261589324219654,4287
9,Binary bypass (A vs non-A),mlp,0.8045257348641245,0.011673258642079996,0.7453492046181376,0.015068711955267863,4287
9,Binary faithful (C vs non-C),linear,0.655235235398596,0.012855471805373992,0.6451615473695831,0.01187410014454146,4287
9,Binary faithful (C vs non-C),mlp,0.6797240876587434,0.021327637549576794,0.6366322443378838,0.014774639532007321,4287
10,3-class (A/B/C),linear,0.5873581882916772,0.01491180872028144,0.5910180334344448,0.014601949783868688,4287
10,3-class (A/B/C),mlp,0.572662265777785,0.021903996781854236,0.5766496242572072,0.021900939058350992,4287
10,Binary bypass (A vs non-A),linear,0.7732655520286793,0.010187924470199639,0.7409856067179399,0.0119192802343732,4287
10,Binary bypass (A vs non-A),mlp,0.7986897971728777,0.008708973213666836,0.7378553977754827,0.009863227969200663,4287
10,Binary faithful (C vs non-C),linear,0.652194052544111,0.02534466191557308,0.6423577008307345,0.025060199301213674,4287
10,Binary faithful (C vs non-C),mlp,0.6745907146140518,0.0218998765834241,0.6297195087847297,0.026819055076415986,4287
11,3-class (A/B/C),linear,0.583396844306996,0.016203292019810207,0.5870131886560099,0.015707017463062793,4287
11,3-class (A/B/C),mlp,0.5710370920405926,0.01612489883465646,0.5748661612116052,0.0161584067354734,4287
11,Binary bypass (A vs non-A),linear,0.7711668339439635,0.012539732639095816,0.7378059057540887,0.015101174047383132,4287
11,Binary bypass (A vs non-A),mlp,0.8047604670708519,0.013524588107706011,0.7405571673583318,0.017917486055676297,4287
11,Binary faithful (C vs non-C),linear,0.6505623509124092,0.02073725836853007,0.6410081252919521,0.020458487628460063,4287
11,Binary faithful (C vs non-C),mlp,0.6850911049277443,0.015379433534739709,0.6435079245794139,0.020778945948663828,4287
12,3-class (A/B/C),linear,0.5906262154803578,0.006750965205685005,0.593503801189383,0.006440064352797231,4287
12,3-class (A/B/C),mlp,0.5778037986906132,0.0246433146198029,0.5810279716228968,0.02395816273379415,4287
12,Binary bypass (A vs non-A),linear,0.7739643087367708,0.016988557471692166,0.7418642700460458,0.018642855651280328,4287
12,Binary bypass (A vs non-A),mlp,0.8073297375514412,0.011199755220048287,0.7469570887995806,0.014173892046856535,4287
12,Binary faithful (C vs non-C),linear,0.6568680250127159,0.01675208430452329,0.645603789360867,0.014661887961041734,4287
12,Binary faithful (C vs non-C),mlp,0.6927893965233521,0.013877436836154678,0.6531914285015692,0.013428690729892388,4287
13,3-class (A/B/C),linear,0.5936619584227519,0.01628707684598292,0.5963110412616939,0.01619171010087886,4287
13,3-class (A/B/C),mlp,0.5775693384794902,0.025505994734774887,0.5796081368334799,0.026186663684066584,4287
13,Binary bypass (A vs non-A),linear,0.7772315199386378,0.012614937215316079,0.7443573712999045,0.01336287333739558,4287
13,Binary bypass (A vs non-A),mlp,0.8049911193435115,0.014540672941567776,0.7444444867182911,0.018268164116596344,4287
13,Binary faithful (C vs non-C),linear,0.6629348869722266,0.016882578546865187,0.6524972010034016,0.016435974094571006,4287
13,Binary faithful (C vs non-C),mlp,0.6820613458886504,0.013897757650553408,0.6376529816561997,0.01800682048784157,4287
