layer,task,probe,accuracy,accuracy_std,f1_macro,f1_std,n
22,Binary bypass (A vs non-A),linear,0.7412538237052144,0.033643193598151225,0.7378937566027638,0.03350417300883242,1194
22,Binary bypass (A vs non-A),mlp,0.7445694595829964,0.014018911990451965,0.7337352757722309,0.01089972632887199,1194
22,Binary faithful (C vs non-C),linear,0.8308495208898664,0.015238029112933083,0.6562488998676052,0.019892627990827697,1194
22,Binary faithful (C vs non-C),mlp,0.8919352521475726,0.013073092272907002,0.6156812708421688,0.04051824848728985,1194
23,3-class (A/B/C),linear,0.664859943977591,0.03784872845674525,0.6056486907161631,0.04693571167140866,1194
23,3-class (A/B/C),mlp,0.6891666666666667,0.05078195365328501,0.5730060439307378,0.06489321534395974,1194
23,Binary bypass (A vs non-A),linear,0.7337048626982173,0.02514074552617357,0.7295179251083995,0.02441839948006589,1194
23,Binary bypass (A vs non-A),mlp,0.7353609226117225,0.026083633481584195,0.7245780896900651,0.029757658127324414,1194
23,Binary faithful (C vs non-C),linear,0.8341441761811446,0.01739845513060269,0.6565125350468031,0.029887997042214766,1194
23,Binary faithful (C vs non-C),mlp,0.8693477310419958,0.0071855806166795395,0.5603470905880729,0.04338360469291759,1194
24,3-class (A/B/C),linear,0.6539915966386555,0.03337487554483066,0.59015583591201,0.0407787707730862,1194
24,3-class (A/B/C),mlp,0.6992226890756302,0.03267789744046741,0.5893272360086792,0.025069260839491705,1194
24,Binary bypass (A vs non-A),linear,0.735353890510179,0.017275562217839054,0.7295945742065016,0.016018879385713853,1194
24,Binary bypass (A vs non-A),mlp,0.7169227523645441,0.039622088940042134,0.7017917487097378,0.05074040916099065,1194
24,Binary faithful (C vs non-C),linear,0.8274143081309638,0.029269246464837036,0.6396873473055159,0.055798471555733684,1194
24,Binary faithful (C vs non-C),mlp,0.8927721905456213,0.008930418949134121,0.6525280253542339,0.05970830979205546,1194
25,3-class (A/B/C),linear,0.6397058823529411,0.046407891131753226,0.5762288430888124,0.0372031126126875,1194
25,3-class (A/B/C),mlp,0.6967226890756303,0.033797302960275964,0.5801698352469175,0.03018255060387466,1194
25,Binary bypass (A vs non-A),linear,0.7211209169860412,0.028058918776448855,0.7150074498579808,0.025645104913113916,1194
25,Binary bypass (A vs non-A),mlp,0.7278436060616715,0.032358523760447844,0.713364423491238,0.04025501964125071,1194
25,Binary faithful (C vs non-C),linear,0.8115777228215582,0.024716007954402135,0.6270848932476234,0.045948674213680436,1194
25,Binary faithful (C vs non-C),mlp,0.8927966856993315,0.011416757085208902,0.6504585890408519,0.03340929366127839,1194
26,3-class (A/B/C),linear,0.6690476190476191,0.04141509511819698,0.6011669829409514,0.036620716152998195,1194
26,3-class (A/B/C),mlp,0.6942086834733894,0.034653279089652884,0.59623096447769,0.04241230148010288,1194
26,Binary bypass (A vs non-A),linear,0.7227945571534053,0.021225067936103313,0.7170462185434128,0.020236485601006233,1194
26,Binary bypass (A vs non-A),mlp,0.7412292113498118,0.017918491581901213,0.7314688588411589,0.016653818939247056,1194
26,Binary faithful (C vs non-C),linear,0.8215391630938695,0.014512678402375835,0.627187475115235,0.03171170001050355,1194
26,Binary faithful (C vs non-C),mlp,0.8877403969903199,0.021996774173990766,0.6446154322434848,0.06054194814015801,1194
27,3-class (A/B/C),linear,0.6363795518207284,0.04522684165946633,0.5626447601219468,0.045003257389552534,1194
27,3-class (A/B/C),mlp,0.6908333333333333,0.047066776038733715,0.5928280222884598,0.05121835209280245,1194
27,Binary bypass (A vs non-A),linear,0.7395204106747301,0.025818922718353395,0.7348336161840494,0.02436819618609135,1194
27,Binary bypass (A vs non-A),mlp,0.7294750536197742,0.011233042115021222,0.719636927727292,0.00976972257584564,1194
27,Binary faithful (C vs non-C),linear,0.8015355283578396,0.023540280423289733,0.6203509359807261,0.0509632869237048,1194
27,Binary faithful (C vs non-C),mlp,0.877723258468156,0.016314525148647077,0.6115010661965077,0.05611488479114194,1194
